kids,descendants,url,title,by,score,time,type,id,
'[17544436 17545506 17544206 17544346 17544668 17544432 17544460 17544367 17546198 17546250 17544555 17546500 17545054 17545176 17545985 17544334 17544811 17544996 17546182 17544761 17544315 17545918 17544662 17546374 17544809 17544227 17546232 17544699 17544323 17544302 17544698 17545181 17545624 17544957 17544527 17544282 17544975 17545382 17546377 17544846 17544889 17544297 17544564]',218,https://techcrunch.com/2018/07/16/prime-down-amazons-sale-day-turns-into-fail-day/,Prime Down: Amazon’s sale day turns into fail day,koolba,493,1531768789,story,17544161,
'[17542150 17541705 17543446 17541509 17541886 17543341 17544597 17543604 17544999 17541565 17541478 17545667 17542457 17541979 17542328 17541788 17542529 17542292 17541834 17544337 17541831 17541910 17541581 17542427 17542407 17541840 17544357 17542771 17541633 17542892 17542029 17542791 17546042 17542994 17542048 17541812]',191,https://gds.blog.gov.uk/2018/07/16/why-gov-uk-content-should-be-published-in-html-and-not-pdf/,Why Gov.uk content should be published in HTML and not PDF,edent,411,1531747301,story,17541045,
'[17546124 17546288]',9,https://www.bbc.co.uk/news/uk-scotland-highlands-islands-44839536,UK spaceport proposed for Sutherland site,teh_klev,23,1531783144,story,17546006,
'[17545025 17542102 17542238 17546555 17542124 17542675 17546318 17542332 17544577 17546121 17542079 17542035 17546372 17542176 17542060 17544612 17542031 17542362 17545329 17544724 17542036 17542213 17542082 17542080 17542532 17545648 17542883 17544926 17542219 17544278 17542172 17543225 17542702 17542805 17543760 17543534 17543138 17543277 17544416 17542023 17542317 17542442 17542815 17542046 17542334 17545532 17543687]',281,https://www.theverge.com/2018/7/16/17569520/twitch-streamers-zero-viewers-motivation-community,Twitch streamers who spend years broadcasting to no one,ss2003,329,1531751998,story,17541600,
'[17545798 17545688 17546546 17546422 17546025 17545602 17545768 17545959 17545979 17546284 17545853 17545681 17546026 17545834]',35,https://github.com/aweijnitz/recipe-el_fuego_viviente,El Fuego Viviente Chili Sauce,otorrillas,85,1531740435,story,17540401,
'[17546504 17546387]',4,https://www.atlasobscura.com/articles/worlds-oldest-bread,Found: 14,400-Year-Old Flatbread Remains That Predate Agriculture,vinayan3,12,1531785685,story,17546207,
'[17545476 17546518 17545870 17546010 17546312 17545451]',14,https://www.statnews.com/2018/07/16/crispr-potential-dna-damage-underestimated/,Potential DNA damage from CRISPR has been ‘seriously underestimated’ study finds,valeg,78,1531769329,story,17544250,
'[17546578 17546534 17545793 17545458 17545934 17546145 17546004 17545600 17546309 17546574]',29,https://www.bbc.co.uk/news/business-44766487,How two strangers set up Dropbox and made billions,scriptstar,84,1531763450,story,17543323,
TrueVault's Mission Is to Protect Personal Data. Join as Our Product Manager,https://angel.co/truevault/jobs/391988-product-manager,17546501,1,1531789392,job,jason_wang,
'[17546565 17546476 17546532 17546480 17546434 17546420 17546522 17546444 17546571]',11,This is something I&#x27;ve been thinking a bit about recently and would like to ask others how they deal with this. There are many popular trends that I believe are not suitable for every situation, ranging from cloud computing to open plan offices, DevOps and agile are other examples. What are some strategies that can be used to challenge these trends without appearing like a luddite?,Ask HN: How to challenge trends without appearing like a luddite?,amanzi,18,1531787289,story,17546332,
